latitude,longitude,name
38.92,-74.761,A1
38.92,-74.623,A2
38.92,-74.484,A3
38.92,-74.345,A4
38.92,-74.207,A5
38.92,-74.068,A6
39.028,-74.241,WS3
39.108,-74.067,B1
39.108,-73.928,B2
39.109,-74.623,B3
39.109,-74.484,B4
39.109,-74.345,B5
39.109,-74.31,WS2
39.109,-74.206,B6
39.19,-74.38,WS1
39.27,-73.961,WN3
39.296,-73.787,C1
39.297,-74.066,C2
39.297,-73.926,C3
39.298,-74.484,C4
39.298,-74.345,C5
39.298,-74.205,C6
39.351,-74.03,WN2
39.432,-74.1,WN1
39.483,-73.505,D1
39.484,-73.645,D2
39.485,-73.785,D3
39.486,-74.064,D4
39.486,-73.925,D5
39.487,-74.204,D6
39.67,-73.362,E1
39.672,-73.503,E2
39.673,-73.643,E3
39.674,-73.923,E4
39.674,-73.783,E5
39.675,-74.063,E6
39.858,-73.289,F1
39.86,-73.43,F2
39.861,-73.57,F3
39.862,-73.711,F4
39.863,-73.851,F5
39.864,-73.992,F6
40.047,-73.251,G1
40.048,-73.391,G2
40.05,-73.532,G3
40.051,-73.814,G4
40.051,-73.673,G5
40.052,-73.955,G6
40.235,-73.212,H1
40.237,-73.353,H2
40.238,-73.494,H3
40.239,-73.636,H4
40.24,-73.777,H5
40.241,-73.918,H6
40.424,-73.173,I1
40.425,-73.315,I2
40.426,-73.456,I3
40.428,-73.598,I4
40.429,-73.881,I5
40.429,-73.74,I6